"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"105-8A","37 MAGAZINE ST","960","Church",12214.9998036,1136000,2036000,3172000,"/",7/2/1993,"CHURCH",19046,"",1910,""
"105-90","6 WESTERN AVE","930","Vacant City",4541.9998932,90840,0,90840,"/",11/14/1985,"",0,"",0,""
"105-91","36 WILLIAM ST","105","THREE-FM-RES",2945.999826,426900,690300,1117200," 48758/ 391",12/29/2006,"DECKER",5143,"BK",1910,"3"
"105-92","34 WILLIAM ST","105","THREE-FM-RES",3103.9997868,391300,417400,808700," 35083/ 431",3/20/2002,"DECKER",5324,"BK",1916,"3"
"105-93","355 GREEN ST","337","PARKING-LOT",7815.9999852,574500,5800,580300,"  1287/  78",7/8/2004,"",,"",0,""
"105-94","39 COTTAGE ST","101","SNGL-FAM-RES",2464.9998516,337400,179000,516400,"   502/ 333",3/28/1952,"CONVENTIONAL",2194,"BK",1854,"2.25"
"105-95","41 COTTAGE ST","101","SNGL-FAM-RES",2563.9999704,340100,408800,748900,"  1398/ 102",4/19/2011,"CONVENTIONAL",2625,"BK",1854,"2.25"
"105-101","26 PLEASANT ST","111","4-8-UNIT-APT",3138.9998112,240000,354000,594000," 23186/  63",5/14/1993,"MULT-RESDNCE",9520,"6",1903,"3"
"105-102","41 WILLIAM ST","104","TWO-FAM-RES",4050.0001476,459500,224000,683500," 40354/ 501",8/7/2003,"OLD STYLE TWO FAM",3786,"BK",1930,"2"
"105-103","39 WILLIAM ST","9571","Charitable Svc",6930.0000396,138600,546100,684700,"/",12/29/1977,"CONVENTIONAL",6333,"BK",1855,""
"105-107","92 RIVER ST","0104","MXD TWO-FAM-RES",1910.0001492,336600,341300,677900," 47242/ 372",4/7/2006,"MIX NBHD CTR W/RES",4700,"3",1900,"3"
"105-109","48 RIVER ST","9611","Rectory, Parsonage",5447.9999772,215700,523300,739000," 15268/ 202",10/17/1983,"MULT-RESDNCE",4161,"BK",1894,"2"
"105-110","34 RIVER ST","104","TWO-FAM-RES",2227.0002084,305600,360200,665800," 13396/ 423",3/2/1978,"STACK",4292,"BK",1894,"3"
"105-111","102 RIVER ST","199","CONDO-BLDG",2781.0002088,283900,0,283900," 43157/ 345",6/28/2004,"",4098,"",1861,"2.5"
"105-111","102 RIVER ST #1","102","CONDOMINIUM",0,0,155500,155500," 51126/ 593",5/2/2008,"APARTMENT",328,"",1861,""
"105-111","102 RIVER ST #2","102","CONDOMINIUM",0,0,339500,339500," 59886/ 567",8/30/2012,"APARTMENT",892,"",1861,""
"105-111","102 RIVER ST #3","102","CONDOMINIUM",0,0,480600,480600," 45434/ 448",6/21/2005,"TWO-FLOORS",1806,"",1861,""
"105-112","100 RIVER ST","0111","MXD 4-8-UNIT-APT",1289.0000772,355900,227900,583800," 15865/ 111",11/5/1984,"MIX NBHD CTR W/RES",4248,"4",1900,"3"
"105-115","47 COTTAGE ST","199","CONDO-BLDG",2993.0001948,0,0,0,"/",1/1/1900,"",4932,"",1916,"3"
"105-115","47 COTTAGE ST #1","102","CONDOMINIUM",0,0,360600,360600,"   116/ 129",8/9/2011,"FLAT",926,"",1916,"1"
"105-115","47 COTTAGE ST #2","102","CONDOMINIUM",0,0,335200,335200,"   U75/ 194",7/12/2002,"FLAT",905,"",1916,"1"
"105-115","47 COTTAGE ST #3","102","CONDOMINIUM",0,0,355200,355200,"    79/ 158",7/3/2003,"FLAT",905,"",1916,"1"
"105-116","49 COTTAGE ST","104","TWO-FAM-RES",3667.0001544,454000,332400,786400,"  1263/  35",1/10/2003,"OLD STYLE TWO FAM",5070,"BK",1873,"2.25"
"105-117","80 RIVER ST","0111","MXD 4-8-UNIT-APT",4617.9998964,345600,950300,1295900," 60866/ 273",12/31/2012,"MIX NBHD CTR W/RES",8848,"6",1873,"2.5"
"105-119","26 RIVER ST","0104","MXD TWO-FAM-RES",2236.00014,343900,384500,728400," 20862/ 297",4/5/1989,"MIX NBHD CTR W/RES",5722,"3",1900,"3"
"105-120","28 RIVER ST","199","CONDO-BLDG",1795.0000068,297500,-297500,0," 49719/ 541",7/2/2007,"",4901,"",1999,"3"
"105-120","28 RIVER ST #1","102","CONDOMINIUM",0,0,325900,325900," 51777/ 196",10/9/2008,"BASEMENT",980,"",1999,""
"105-120","28 RIVER ST #2","102","CONDOMINIUM",0,0,405000,405000," 51777/ 171",10/9/2008,"APARTMENT",937,"",1999,""
"105-120","28 RIVER ST #3","102","CONDOMINIUM",0,0,376200,376200," 51774/ 317",10/9/2008,"APARTMENT",832,"",1999,""
"105-120","28 RIVER ST #4","102","CONDOMINIUM",0,0,417500,417500," 51792/ 530",10/15/2008,"APARTMENT",980,"",1999,""
"105-121","30 RIVER ST","111","4-8-UNIT-APT",2037.9999024,288000,754500,1042500," 21468/ 599",10/10/1991,"MULT-RESDNCE",4993,"4",1910,"3"
"105-122","32 RIVER ST","121","BOARDING-HSE",2356.9998012,345800,685400,1031200," 30177/ 423",5/17/1999,"MULT-RESDNCE",4572,"8",1902,"3"
"105-123","282 FRANKLIN ST","957","Charitable Svc",3233.0001132,190700,471400,662100,"/",1/23/1996,"OFFICE",3300,"0",1920,"2"
"105-124","44-46 WESTERN AVE","199","CONDO-BLDG",1656.0000468,0,0,0,"/",1/1/1900,"",2731,"",1900,"3"
"105-124","44-46 WESTERN AVE #44","102","CONDOMINIUM",0,0,365100,365100," 22373/ 498",9/8/1992,"TWO-FLOORS",935,"TW",1900,"2"
"105-124","46 WESTERN AVE #46","102","CONDOMINIUM",0,0,400800,400800," 22275/ 194",8/6/1992,"TWO-FLOORS",1180,"TW",1900,"2"
"105-126","48-50 WESTERN AVE","104","TWO-FAM-RES",1543.9998816,325900,274800,600700," 40018/ 529",7/19/2003,"ROW",2700,"BK",1905,"3"
"105-128","52-54 WESTERN AVE","0104","MXD TWO-FAM-RES",1080.0000684,349200,421100,770300," 16249/  20",6/26/1985,"MIX NBHD CTR W/RES",2784,"2",1890,"3"
"105-129","52-54 WESTERN AVE","1062","RES LND-IMP UNDEV",442.9999728,40200,0,40200," 16249/  20",6/26/1985,"",0,"",0,"3"
"105-130","56-58 WESTERN AVE","199","CONDO-BLDG",1093.0001148,0,0,0,"/",1/1/1998,"",2751,"",1900,"3"
"105-130","58 WESTERN AVE #L","102","CONDOMINIUM",0,0,349200,349200," 57664/  34",10/18/2011,"TWO-FLOORS",1049,"AP",1900,"2"
"105-130","56 WESTERN AVE #U","102","CONDOMINIUM",0,0,515400,515400," 57664/  30",10/18/2011,"TWO-FLOORS",1235,"",1900,"2"
"105-131","56-58 WESTERN AVE","199","CONDO-BLDG",479.0001348,0,0,0,"   105/  31",1/1/1998,"",0,"",1900,"3"
"105-132","60 WESTERN AVE","199","CONDO-BLDG",1096.999794,0,0,0,"/",1/1/1900,"",2896,"",1900,"3"
"105-132","60 WESTERN AVE #L","102","CONDOMINIUM",0,0,389600,389600," 29747/ 312",2/2/1999,"TWO-FLOORS",1178,"TH",1900,"2"
"105-132","62 WESTERN AVE #U","102","CONDOMINIUM",0,0,507200,507200," 56895/  18",5/24/2011,"TWO-FLOORS",1582,"TH",1900,"2"
"105-133","60 WESTERN AVE","199","CONDO-BLDG",435.0001788,0,0,0," 29747/ 312",2/2/1999,"",0,"",1900,"3"
"105-134","64-66 WESTERN AVE","0104","MXD TWO-FAM-RES",1137.0000708,351000,434200,785200," 25659/ 313",9/15/1995,"MIX NBHD CTR W/RES",2784,"2",1890,"3"
"105-135","64-66 WESTERN AVE","1062","RES LND-IMP UNDEV",495.0001584,39500,0,39500," 25659/ 313",9/15/1995,"",0,"",0,"3"
"105-136","28 PLEASANT ST","105","THREE-FM-RES",1650.0000924,365400,270200,635600," 25344/ 255",5/12/1982,"DECKER",3956,"BK",1903,"3"
"105-137","67 RIVER ST","105","THREE-FM-RES",1700.0000028,243000,262200,505200," 26835/  76",7/18/1984,"DECKER",2737,"BK",1903,"3"
"105-138","69 RIVER ST","105","THREE-FM-RES",1125.000162,262000,105800,367800," 17594/ 157",11/20/1986,"DECKER",2268,"BK",1903,"3"
"105-139","55 RIVER ST","105","THREE-FM-RES",2695.9998384,261400,609700,871100," 55426/ 244",9/22/2010,"DECKER",7764,"BK",1910,"3"
"105-140","61-63 RIVER ST","104","TWO-FAM-RES",1504.0000404,172800,313400,486200," 55426/ 244",9/22/2010,"STACK",4032,"BK",1910,"3"
"106-1","34 MAGAZINE ST","101","SNGL-FAM-RES",5174.999874,493000,569700,1062700," 30374/ 497",7/1/1999,"CONVENTIONAL",4634,"ST",1800,"2.25"
"106-2","32 MAGAZINE ST","111","4-8-UNIT-APT",7919.9999208,576000,919900,1495900,"  8131/ 601",9/1/1953,"MULT-RESDNCE",8675,"6",1920,"2.5"
"106-3","18 WILLIAM ST","104","TWO-FAM-RES",5124.9999636,491700,403000,894700," 24941/ 537",10/24/1994,"DUPLEX",5852,"BK",1847,"2.5"
"106-4","14 WILLIAM ST","101","SNGL-FAM-RES",4117.9999212,461200,406700,867900," 59283/ 189",6/13/2012,"VICTORIAN",4108,"BK",1873,"2.25"
"106-5","12 WILLIAM ST","104","TWO-FAM-RES",4500.0002124,474200,544500,1018700," 21150/ 274",5/10/1991,"OLD STYLE TWO FAM",6027,"BK",1873,"2.5"
"106-6","8.5-10 WILLIAM ST","199","CONDO-BLDG",4769.9999028,0,0,0,"/",1/1/1998,"",7942,"",1920,"2"
"106-6","8.5-10 WILLIAM ST #8","102","CONDOMINIUM",0,0,371000,371000," 56534/ 538",2/28/2011,"APARTMENT",1563,"FL",1920,"1"
"106-6","8.5-10 WILLIAM ST #10","102","CONDOMINIUM",0,0,502600,502600," 55297/ 436",9/1/2010,"APARTMENT",1839,"AP",1920,"1"
"106-6","8.5-10 WILLIAM ST #8.5","102","CONDOMINIUM",0,0,405500,405500," 27208/  47",4/14/1997,"APARTMENT",1684,"AP",1920,"1"
"106-6","8.5-10 WILLIAM ST #10.5","102","CONDOMINIUM",0,0,415300,415300," 27208/  71",4/14/1997,"APARTMENT",1553,"AP",1920,"1"
"106-7","6 WILLIAM ST","199","CONDO-BLDG",4477.9997988,0,0,0,"/",1/1/1900,"",5556,"",1930,"2.25"
"106-7","6 WILLIAM ST #1","102","CONDOMINIUM",0,0,398600,398600," 21459/ 424",10/6/1991,"FLAT",1149,"FL",1930,"1"
"106-7","6 WILLIAM ST #2","102","CONDOMINIUM",0,0,363400,363400," 51965/ 177",12/10/2008,"TWO-FLOORS",1124,"TW",1930,"1"
"106-8","4 WILLIAM ST","104","TWO-FAM-RES",4303.0001124,468100,268100,736200," 60792/ 433",12/21/2012,"OLD STYLE TWO FAM",5395,"ST",1930,"2"
"106-9","93 PEARL ST","0105","MXD THREE-FM-RES",4462.9999128,473200,245300,718500," 60792/ 431",12/21/2012,"MIX NBHD CTR W/RES",7399,"4",1900,"2.5"
"106-11","101 PEARL ST","199","CONDO-BLDG",2771.9998416,327400,0,327400," 30725/ 127",10/1/1999,"",4431,"",1835,"2"
"106-11","3 COTTAGE ST","102","CONDOMINIUM",0,0,385500,385500," 49173/ 407",3/26/2007,"APARTMENT",1166,"",1835,""
"106-11","101 PEARL ST","102","CONDOMINIUM",0,0,344400,344400," 44055/ 591",11/8/2004,"APARTMENT",1012,"",1835,""
"106-12","7 COTTAGE ST","104","TWO-FAM-RES",2929.9998024,426000,282000,708000," 31513/ 544",6/19/2000,"DUPLEX",3088,"BK",1835,"1.75"
"106-13","9 COTTAGE ST","111","4-8-UNIT-APT",3420.000144,320000,390000,710000," 30278/ 526",6/10/1999,"MULT-RESDNCE",5377,"4",1902,"2.25"
"106-14","11 COTTAGE ST","104","TWO-FAM-RES",3632.00013,453100,348200,801300," 24757/ 137",8/3/1994,"OLD STYLE TWO FAM",3493,"BK",1873,"3"
"106-15","13 COTTAGE ST","101","SNGL-FAM-RES",3619.0000836,452700,316300,769000," 19017/  19",4/29/1988,"CONVENTIONAL",3067,"BK",1868,"2.25"
"106-16","15 COTTAGE ST","101","SNGL-FAM-RES",3601.9999224,452200,467800,920000," 41109/ 454",10/3/2003,"CONVENTIONAL",3149,"BK",1873,"2.25"
"106-17","19 COTTAGE ST","104","TWO-FAM-RES",4500.0002124,474200,431100,905300," 13865/ 156",12/24/1979,"VICTORIAN",4634,"BK",1886,"3"
"106-18","21 COTTAGE ST","104","TWO-FAM-RES",4500.0002124,474200,234000,708200," 23237/ 220",5/27/1993,"OLD STYLE TWO FAM",3623,"BK",1873,"2.25"
"106-19","23 COTTAGE ST","101","SNGL-FAM-RES",2924.9999856,425700,260300,686000," 23943/ 264",11/30/1993,"VICTORIAN",2754,"BK",1863,"2"
"106-20","26 MAGAZINE ST","199","CONDO-BLDG",2869.9998228,325800,-325800,0," 25464/ 423",7/3/1995,"",8061,"",1837,"2.5"
"106-20","26 MAGAZINE ST #23","102","CONDOMINIUM",0,0,762100,762100," 48065/ 399",8/28/2006,"SEMIDETACHED",2403,"",1837,""
"106-20","26 MAGAZINE ST #25A","102","CONDOMINIUM",0,0,491900,491900," 50718/ 586",2/13/2008,"APARTMENT",1142,"",1837,""
"106-20","26 MAGAZINE ST #25B","102","CONDOMINIUM",0,0,475200,475200," 50161/ 377",9/28/2007,"APARTMENT",1391,"",1837,""
"106-21","24 MAGAZINE ST","112",">8-UNIT-APT",7728.0000732,768000,2544600,3312600," 13226/ 554",7/1/1977,"APARTMENTS",27074,"12",1905,"4"
"106-22","172-174 AUBURN ST","199","CONDO-BLDG",4079.9999196,0,0,0,"/",1/1/1900,"",9056,"",1890,"2.5"
"106-22","172-174 AUBURN ST #1","102","CONDOMINIUM",0,0,336600,336600,"  5712/ 223",6/20/2011,"FLAT",918,"FL",1890,"1"
"106-22","172 AUBURN ST #2","102","CONDOMINIUM",0,0,272700,272700," 21679/  93",1/14/1992,"FLAT",755,"FL",1890,"1"
"106-22","172 AUBURN ST #3","102","CONDOMINIUM",0,0,278800,278800," 25155/ 246",1/31/1995,"FLAT",782,"FL",1890,"1"
"106-22","172 AUBURN ST #4","102","CONDOMINIUM",0,0,326000,326000," 52947/ 280",6/8/2009,"APARTMENT",1119,"AP",1890,"2"
"106-22","172 AUBURN ST #5","102","CONDOMINIUM",0,0,372000,372000," 53473/  45",8/31/2009,"APARTMENT",1373,"AP",1890,"2"
"106-23","168 AUBURN ST","104","TWO-FAM-RES",2059.9998804,326900,641100,968000," 47610/ 312",6/12/2006,"OLD STYLE TWO FAM",4269,"BK",1982,"3"
"106-24","166 AUBURN ST","104","TWO-FAM-RES",1939.9999212,325700,621100,946800," 27395/ 441",4/1/1993,"OLD STYLE TWO FAM",3909,"BK",1982,"3"
"106-25","164 AUBURN ST","111","4-8-UNIT-APT",3199.9999284,320000,366800,686800,"/",5/10/2002,"MULT-RESDNCE",4767,"4",1873,"2.25"
"106-26","158 AUBURN ST","101","SNGL-FAM-RES",3319.9998876,443100,258300,701400," 22808/ 304",1/7/1993,"CONVENTIONAL",3500,"BK",1805,"2"
"106-28","71 PEARL ST","9403","Private Elementary Education",7308.999918,643200,928600,1571800,"/",9/30/1970,"GEN-OFFICE",11038,"",1910,""
"106-29","77 PEARL ST","101","SNGL-FAM-RES",1679.9998644,318100,209400,527500," 53349/ 285",8/6/2009,"VICTORIAN",2644,"BK",1861,"2.75"
"106-30","79 PEARL ST","105","THREE-FM-RES",1669.9997952,318100,201600,519700," 13461/ 160",6/12/1978,"VICTORIAN",2648,"BK",1861,"2.75"
"106-31","83 PEARL ST","111","4-8-UNIT-APT",1664.9999784,320000,347100,667100," 48953/ 259",2/5/2007,"MULT-RESDNCE",2890,"4",1900,"3"
"106-32","85 PEARL ST","101","SNGL-FAM-RES",1566.9999972,315800,201400,517200," 27575/ 530",8/15/1997,"VICTORIAN",2046,"BK",1861,"2.75"
"106-33","3 WILLIAM ST","104","TWO-FAM-RES",3074.0000148,433400,469900,903300," 44358/ 544",12/23/2004,"VICTORIAN",3497,"BK",1857,"2.25"
"106-34","5 WILLIAM ST","101","SNGL-FAM-RES",1790.999892,322200,240700,562900," 31467/ 289",6/1/2000,"CONVENTIONAL",2335,"BK",1854,"2.25"
"106-35","7 WILLIAM ST","101","SNGL-FAM-RES",1888.9998732,324900,218000,542900," 15536/ 357",1/1/1900,"CONVENTIONAL",2362,"BK",1854,"2.25"
"106-36","9 WILLIAM ST","101","SNGL-FAM-RES",2932.0000776,426100,289500,715600," 29810/ 182",6/3/1980,"CONVENTIONAL",3404,"BK",1873,"3"
"106-37","11-13 WILLIAM ST","105","THREE-FM-RES",5412.9999528,498300,442800,941100," 47108/ 369",3/15/2006,"DUPLEX",5579,"BK",1840,"2"
"106-40","21 WILLIAM ST","101","SNGL-FAM-RES",5588.0000748,504400,594000,1098400," 29564/ 423",12/22/1998,"CONVENTIONAL",5331,"BK",1854,"2.5"
"106-42","183 AUBURN ST","9600","Church",3329.9999568,146500,0,146500,"/",1/1/1900,"",0,"",0,""
"106-45","254 FRANKLIN ST","105","THREE-FM-RES",4600.0000332,476700,355300,832000," 12011/  21",1/1/1900,"OLD STYLE THREE FAM",4771,"BK",1873,"2.5"
"106-46","248 FRANKLIN ST","199","CONDO-BLDG",4500.0002124,0,0,0,"      /",1/1/1900,"",8330,"",1965,"3"
"106-46","248 FRANKLIN ST #1","102","CONDOMINIUM",0,0,517000,517000," 54670/  72",5/12/2010,"FLAT",1449,"FL",1965,"1"
"106-46","248 FRANKLIN ST #2","102","CONDOMINIUM",0,0,528800,528800," 53188/ 548",7/13/2009,"FLAT",1492,"FL",1965,"1"
"106-46","248 FRANKLIN ST #3","102","CONDOMINIUM",0,0,536600,536600," 53073/ 407",6/28/2009,"FLAT",1492,"FL",1965,"1"
"106-46","246 FRANKLIN ST #4","102","CONDOMINIUM",0,0,546300,546300," 21362/  62",8/16/1991,"SINGLE",2013,"SI",1965,"2"
"106-47","240 FRANKLIN ST","199","CONDO-BLDG",6079.0001184,0,0,0,"/",7/12/1999,"",16494,"",1900,"4"
"106-47","240 FRANKLIN ST #1","102","CONDOMINIUM",0,0,430700,430700," 43150/  12",6/28/2004,"APARTMENT",1250,"",1900,"0"
"106-47","240 FRANKLIN ST #2","102","CONDOMINIUM",0,0,430700,430700," 29942/ 285",3/22/1999,"APARTMENT",1250,"",1900,"0"
"106-47","240 FRANKLIN ST #3","102","CONDOMINIUM",0,0,436900,436900," 50735/ 309",2/19/2008,"APARTMENT",1275,"",1900,"0"
"106-47","240 FRANKLIN ST #4","102","CONDOMINIUM",0,0,436900,436900," 31727/ 324",8/18/2000,"APARTMENT",1275,"",1900,"0"
"106-47","240 FRANKLIN ST #5","102","CONDOMINIUM",0,0,445500,445500," 50127/ 303",9/21/2007,"APARTMENT",1310,"",1900,"0"
"106-47","240 FRANKLIN ST #6","102","CONDOMINIUM",0,0,424300,424300," 51417/ 300",7/9/2008,"APARTMENT",1225,"AP",1900,"1"
"106-47","240 FRANKLIN ST #7","102","CONDOMINIUM",0,0,436900,436900,"  4989/ 405",8/3/2007,"APARTMENT",1275,"",1900,"0"
"106-47","240 FRANKLIN ST #8","102","CONDOMINIUM",0,0,436900,436900," 48942/ 276",2/2/2007,"APARTMENT",1275,"",1900,"0"
"106-47","240 FRANKLIN ST #B1","102","CONDOMINIUM",0,0,309900,309900," 58025/ 253",12/6/2011,"BASEMENT",1030,"",1900,"0"
"106-47","240 FRANKLIN ST #B2","102","CONDOMINIUM",0,0,312300,312300," 57288/ 144",8/12/2011,"BASEMENT",1042,"",1900,"0"
"106-48","234 FRANKLIN ST","960","Church",6250.0001256,493800,998100,1491900,"/",1/1/1900,"OFFICE",10895,"",1910,"2"
"106-49","216 FRANKLIN ST","1095","MULT-RES-3FAM",15798.0001608,372500,1467200,1839700," 23186/  63",5/14/1993,"DECKER",5946,"BK",1916,"3"
"106-50","61 PEARL ST","111","4-8-UNIT-APT",3639.999924,640000,887800,1527800," 24098/  16",1/5/1983,"MULT-RESDNCE",7210,"8",1910,"3"
"106-51","65 PEARL ST","0111","MXD 4-8-UNIT-APT",3840.0000012,457500,240800,698300,"   984/ 111",3/31/1999,"MIX NBHD CTR W/RES",6336,"7",1900,"2.5"
"106-52","149 AUBURN ST","101","SNGL-FAM-RES",2170.000206,398500,209200,607700," 20337/ 131",1/22/1990,"CONVENTIONAL",3680,"BK",1902,"2.25"
"106-54","151-153 AUBURN ST","121","BOARDING-HSE",3012.0001956,430400,247900,678300," 35987/ 230",7/29/2002,"MULT-RESDNCE",5030,"13",1900,"3"
"106-55","157 AUBURN ST","104","TWO-FAM-RES",2699.9999532,342500,524500,867000," 31015/  95",12/30/1999,"OLD STYLE TWO FAM",3210,"BK",1969,"2.5"
"106-56","159 AUBURN ST","105","THREE-FM-RES",2315.9998224,333800,352700,686500,"  1150/ 114",12/30/1999,"OLD STYLE THREE FAM",3287,"BK",1977,"2"
"106-57","165 AUBURN ST","199","CONDO-BLDG",5013.999936,0,0,0,"/",9/12/1980,"",6180,"",1844,"2.75"
"106-57","165 AUBURN ST #1","102","CONDOMINIUM",0,0,335500,335500," 56871/  52",5/18/2011,"FREE-STANDING",948,"FL",1844,"1"
"106-57","165 AUBURN ST #2","102","CONDOMINIUM",0,0,623600,623600," 47876/ 488",7/27/2006,"TWO-FLOORS",2403,"TW",1844,"2"
"106-58","169 AUBURN ST","105","THREE-FM-RES",5007.9999816,488400,656300,1144700," 33058/ 314",5/22/1985,"DUPLEX",7897,"BK",1920,"2.5"
"106-59","173 AUBURN ST","112",">8-UNIT-APT",4975.9999344,704000,1402500,2106500," 30285/ 396",6/14/1999,"APARTMENTS",14991,"11",1920,"4"
"106-60","177 AUBURN ST","9600","Church",6240.0000564,274600,0,274600,"/",1/1/1900,"",0,"",0,""
"106-95","17 WILLIAM ST","104","TWO-FAM-RES",3150.000018,436700,426300,863000," 18982/ 240",4/13/1988,"OLD STYLE TWO FAM",5411,"BK",1843,"2.5"
"106-96","15 WILLIAM ST","101","SNGL-FAM-RES",2610.0002016,411000,363900,774900," 54688/ 573",5/14/2010,"CONVENTIONAL",4144,"BK",1903,"2.25"
"106-97","95 PEARL ST","132","RES-UDV-LAND",3395.0001888,66700,0,66700," 60792/ 429",12/21/2012,"",,"",0,""
"106-103","576 MASSACHUSETTS AVE","0325","MXD RETAIL-STORE",16541.0000316,4566600,3998000,8564600," 47564/ 329",6/2/2006,"MIX NBHD CTR W/RES",52152,"30",1880,"3"
"106-105","632 MASSACHUSETTS AVE","0112","MXD >8-UNIT-APT",33254.000208,5952000,27377900,33329900," 30946/ 286",12/10/1999,"APARTMENTS",88401,"93",2001,"7"
"106-108","14 MAGAZINE ST","960","Church",10018.9999404,1072000,3525300,4597300,"/",1/1/1900,"CHURCH",23861,"1",1917,""
"106-109","280 GREEN ST","326","EATING-ESTBL",3917.999844,349700,306500,656200," 20819/ 407",10/16/1990,"RESTAURANT",10255,"2",1910,"2"
"106-117","296 GREEN ST","353","FRAT-ORGANIZ",7725.000096,1013900,339100,1353000,"  9632/ 120",1/1/1900,"CITY-CLUB",22169,"1",1910,"3"
"106-120","154 AUBURN ST","199","CONDO-BLDG",6089.9998896,0,0,0,"/",1/1/1900,"",13922,"",1920,"3"
"106-120","154-156 AUBURN ST #1E","102","CONDOMINIUM",0,0,476300,476300," 32500/ 128",7/22/1996,"FLAT",1372,"FL",1920,"1"
"106-120","154-156 AUBURN ST #1W","102","CONDOMINIUM",0,0,466400,466400," 32729/ 518",7/30/1997,"FLAT",1481,"FL",1920,"1"
"106-120","154-156 AUBURN ST #2E","102","CONDOMINIUM",0,0,457400,457400," 34815/ 210",2/13/2002,"FLAT",1444,"FL",1920,"1"
"106-120","154-156 AUBURN ST #2W","102","CONDOMINIUM",0,0,457400,457400," 59637/ 562",7/31/2012,"FLAT",1444,"FL",1920,"1"
"106-120","154-156 AUBURN ST #3E","102","CONDOMINIUM",0,0,466400,466400," 32500/ 131",5/28/1997,"FLAT",1481,"FL",1920,"1"
"106-120","154-156 AUBURN ST #3W","102","CONDOMINIUM",0,0,488100,488100," 59663/ 486",8/1/2012,"FLAT",1483,"FL",1920,"1"
"106-121","156R AUBURN ST","101","SNGL-FAM-RES",1890.0000108,352300,240100,592400," 22808/ 304",1/7/1993,"CONVENTIONAL",2920,"BK",1830,"2"
"106-122","240 GREEN ST","931","Improved City",55828.0001268,9714100,35962700,45676800,"/",1/1/1900,"APARTMENTS",35040,"199",1969,"19"
"106-123","618 MASSACHUSETTS AVE","345","RETAIL-OFFIC",10074.0001032,1480900,2082200,3563100," 32325/  80",2/2/2001,"OFFICE",48562,"3",1908,"4"
"106-124","596 MASSACHUSETTS AVE","325","RETAIL-STORE",21262.0001616,2589700,1696000,4285700," 42788/ 486",5/14/2004,"RETAIL-STORE",36818,"4",1924,"1"
"106-125","8-12 MAGAZINE ST","0112","MXD >8-UNIT-APT",21857.9998428,5696000,14958700,20654700," 43686/ 286",9/9/2004,"MIX NBHD CTR W/COM",121427,"89",1985,"10"
"107-1","757 MASSACHUSETTS AVE","0345","MXD RETAIL-OFFIC",6620.0000724,1390200,2233200,3623400," 11883/  29",8/31/1970,"MIX NBHD CTR W/RES",28491,"3",1888,"4"
"107-2","8 INMAN ST","960","Church",15811.9999092,1029400,1757200,2786600,"/",6/24/1954,"CHURCH",18375,"",1910,"2"
"107-8","711 MASSACHUSETTS AVE","345","RETAIL-OFFIC",10569.9999636,1291900,2030900,3322800," 58282/ 289",1/13/2012,"OFFICE",16306,"5",1910,"3"
"107-9","731 MASSACHUSETTS AVE","325","RETAIL-STORE",9926.0002116,1667600,526800,2194400," 17733/ 580",1/1/1900,"RETAIL-STORE",18600,"1",1910,"1"
"107-19","22-24 INMAN ST","199","CONDO-BLDG",14440.0001724,0,0,0," 45027/ 210",4/20/2005,"",11296,"",1870,"3"
"107-19","22 INMAN ST #1","102","CONDOMINIUM",0,0,480000,480000," 32174/ 571",8/25/1995,"TOWNHOUSE",1194,"TT",1870,"2"
"107-19","22 INMAN ST #2","102","CONDOMINIUM",0,0,488800,488800," 37732/ 242",1/21/2003,"APARTMENT",1194,"AP",1870,"2"
"107-19","22 INMAN ST #3","102","CONDOMINIUM",0,0,343800,343800," 47992/  69",8/18/2006,"APARTMENT",754,"",1870,"1"
"107-19","22 INMAN ST #4","102","CONDOMINIUM",0,0,333600,333600," 49083/ 477",3/6/2007,"APARTMENT",754,"AP",1870,"1"
"107-19","22 INMAN ST #5","102","CONDOMINIUM",0,0,394000,394000," 39915/ 264",7/14/2003,"APARTMENT",922,"AP",1870,"1"
"107-19","22 INMAN ST #6","102","CONDOMINIUM",0,0,374000,374000," 52339/ 131",3/3/2009,"APARTMENT",922,"",1870,"1"
"107-19","22 INMAN ST #7","102","CONDOMINIUM",0,0,401600,401600," 32454/  45",1/18/2000,"APARTMENT",1025,"",1870,"1"
"107-19","22 INMAN ST #8","102","CONDOMINIUM",0,0,383800,383800," 56091/ 313",12/17/2010,"APARTMENT",922,"AP",1870,"1"
"107-21","26 INMAN ST","199","CONDO-BLDG",9703.0000188,0,0,0,"/",1/1/1998,"",14488,"",1960,"4"
"107-21","26 INMAN ST #1A","102","CONDOMINIUM",0,0,400500,400500," 50470/ 236",12/14/2007,"APARTMENT",1140,"AP",1960,"2"
"107-21","26 INMAN ST #1B","102","CONDOMINIUM",0,0,424800,424800," 48052/ 577",8/25/2006,"APARTMENT",1148,"",1960,"2"
"107-21","26 INMAN ST #1C","102","CONDOMINIUM",0,0,371600,371600," 21402/ 406",9/6/1991,"APARTMENT",1144,"AP",1960,"2"
"107-21","26 INMAN ST #1D","102","CONDOMINIUM",0,0,425800,425800," 27364/ 437",6/6/1997,"APARTMENT",1152,"TW",1960,"2"
