"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"175-70","26 GRAY ST","101","SNGL-FAM-RES",6817.0001724,819100,588600,1407700," 30956/ 109",12/14/1999,"COLONIAL",3711,"BK",1810,"2"
"175-75","1720 MASSACHUSETTS AVE","325","RETAIL-STORE",25656.0001632,2321400,1340600,3662000," 49665/  94",6/28/2007,"RETAIL-STORE",17940,"1",1920,"1"
"175-77","1718 MASSACHUSETTS AVE","340","GEN-OFFICE",3309.0001164,174700,183200,357900," 49665/  94",6/26/2007,"OFFICE",1184,"1",1968,"1"
"175-78","41 BOWDOIN ST","199","CONDO-BLDG",13604.0001372,0,0,0,"/",1/1/1900,"",21222,"",1920,"4"
"175-78","41 BOWDOIN ST #1","102","CONDOMINIUM",0,0,313000,313000," 57016/ 116",6/21/2011,"APARTMENT",516,"",1920,"1"
"175-78","41 BOWDOIN ST #2","102","CONDOMINIUM",0,0,269800,269800," 59383/ 290",6/26/2012,"APARTMENT",448,"",1920,"1"
"175-78","41 BOWDOIN ST #3","102","CONDOMINIUM",0,0,384200,384200," 39736/ 369",6/30/2003,"APARTMENT",900,"AP",1920,"1"
"175-78","41 BOWDOIN ST #4","102","CONDOMINIUM",0,0,375600,375600," 27977/ 305",12/15/1997,"APARTMENT",707,"AP",1920,"1"
"175-78","41 BOWDOIN ST #5","102","CONDOMINIUM",0,0,339900,339900," 59301/ 162",6/15/2012,"APARTMENT",701,"AP",1920,"1"
"175-78","41 BOWDOIN ST #6","102","CONDOMINIUM",0,0,375500,375500," 19621/ 290",1/30/1989,"APARTMENT",865,"AP",1920,"1"
"175-78","41 BOWDOIN ST #7","102","CONDOMINIUM",0,0,248300,248300," 23291/ 159",6/11/1993,"APARTMENT",436,"AP",1920,"1"
"175-78","41 BOWDOIN ST #8","102","CONDOMINIUM",0,0,395200,395200," 54720/ 399",5/24/2010,"APARTMENT",861,"AP",1920,"1"
"175-78","41 BOWDOIN ST #21","102","CONDOMINIUM",0,0,301600,301600," 49886/ 172",8/2/2007,"APARTMENT",621,"AP",1920,"1"
"175-78","41 BOWDOIN ST #22","102","CONDOMINIUM",0,0,255300,255300," 31786/ 274",9/1/2000,"APARTMENT",448,"AP",1920,"1"
"175-78","41 BOWDOIN ST #23","102","CONDOMINIUM",0,0,405400,405400," 41270/ 446",10/24/2003,"APARTMENT",900,"",1920,"1"
"175-78","41 BOWDOIN ST #24","102","CONDOMINIUM",0,0,368800,368800," 49356/ 540",4/27/2007,"APARTMENT",707,"",1920,"1"
"175-78","41 BOWDOIN ST #25","102","CONDOMINIUM",0,0,319300,319300," 18024/ 180",4/13/1987,"APARTMENT",701,"AP",1920,"1"
"175-78","41 BOWDOIN ST #26","102","CONDOMINIUM",0,0,417000,417000," 58969/ 485",4/26/2012,"APARTMENT",865,"AP",1920,"1"
"175-78","41 BOWDOIN ST #27","102","CONDOMINIUM",0,0,250700,250700," 43220/ 490",7/2/2004,"APARTMENT",436,"AP",1920,"1"
"175-78","41 BOWDOIN ST #28","102","CONDOMINIUM",0,0,408300,408300," 21949/ 462",4/16/1992,"APARTMENT",984,"",1920,"1"
"175-78","41 BOWDOIN ST #31","102","CONDOMINIUM",0,0,318700,318700," 26181/ 475",3/29/1996,"APARTMENT",621,"AP",1920,"1"
"175-78","41 BOWDOIN ST #32","102","CONDOMINIUM",0,0,255300,255300," 31746/ 507",8/24/2000,"APARTMENT",448,"AP",1920,"1"
"175-78","41 BOWDOIN ST #33","102","CONDOMINIUM",0,0,384200,384200," 27094/ 262",2/27/1997,"APARTMENT",900,"AP",1920,"1"
"175-78","41 BOWDOIN ST #34","102","CONDOMINIUM",0,0,332100,332100," 41432/ 230",11/14/2003,"FLAT",707,"",1920,"1"
"175-78","41 BOWDOIN ST #35","102","CONDOMINIUM",0,0,349000,349000," 17634/ 462",12/4/1986,"APARTMENT",701,"",1920,"1"
"175-78","41 BOWDOIN ST #36","102","CONDOMINIUM",0,0,375500,375500," 30012/ 298",1/25/1999,"APARTMENT",865,"",1920,"0"
"175-78","41 BOWDOIN ST #37","102","CONDOMINIUM",0,0,250700,250700," 53294/ 576",7/29/2009,"APARTMENT",436,"AP",1920,"1"
"175-78","41 BOWDOIN ST #38","102","CONDOMINIUM",0,0,483500,483500," 51991/ 275",12/19/2008,"APARTMENT",984,"AP",1920,"1"
"175-78","41 BOWDOIN ST #3B","102","CONDOMINIUM",0,0,282400,282400,"/",6/1/1979,"BASEMENT",848,"BS",1920,"1"
"175-78","41 BOWDOIN ST #41","102","CONDOMINIUM",0,0,318700,318700," 59994/ 384",9/13/2012,"APARTMENT",621,"AP",1920,"1"
"175-78","41 BOWDOIN ST #42","102","CONDOMINIUM",0,0,269800,269800," 44959/ 225",4/7/2005,"APARTMENT",448,"AP",1920,"1"
"175-78","41 BOWDOIN ST #43","102","CONDOMINIUM",0,0,437200,437200," 53588/ 374",9/25/2009,"APARTMENT",900,"AP",1920,"1"
"175-78","41 BOWDOIN ST #44","102","CONDOMINIUM",0,0,341300,341300," 53303/ 289",7/30/2009,"APARTMENT",707,"AP",1920,"1"
"175-78","41 BOWDOIN ST #45","102","CONDOMINIUM",0,0,346700,346700," 25769/  58",10/27/1995,"APARTMENT",701,"",1920,"1"
"175-78","41 BOWDOIN ST #46","102","CONDOMINIUM",0,0,365100,365100," 27726/ 585",9/30/1997,"APARTMENT",865,"AP",1920,"1"
"175-78","41 BOWDOIN ST #47","102","CONDOMINIUM",0,0,286100,286100," 53844/ 129",11/16/2009,"APARTMENT",436,"AP",1920,"1"
"175-78","41 BOWDOIN ST #48","102","CONDOMINIUM",0,0,408300,408300," 32984/  22",6/1/2001,"APARTMENT",984,"AP",1920,"1"
"175-80","32 BOWDOIN ST","101","SNGL-FAM-RES",5294.9998332,734400,1310800,2045200," 51100/  36",4/29/2008,"VICTORIAN",6080,"ST",1894,"2.5"
"175-81","36 BOWDOIN ST","101","SNGL-FAM-RES",5066.9998236,725700,1509200,2234900," 42733/ 457",5/7/2004,"COLONIAL",5215,"ST",1894,"2.5"
"175-82","24 BOWDOIN ST","101","SNGL-FAM-RES",2560.9999932,606700,693800,1300500," 36904/ 470",11/1/2002,"VICTORIAN",3594,"ST",1894,"2.75"
"175-83","29-31 MARTIN ST","101","SNGL-FAM-RES",3179.000088,648500,713300,1361800,"/",12/23/2002,"VICTORIAN",4235,"BK",1890,"2.75"
"175-84","1712 MASSACHUSETTS AVE","326","EATING-ESTBL",6750.0001008,469800,1684400,2154200," 48833/ 336",1/12/2007,"RESTAURANT",13500,"1",1967,"1"
"175-86","35 BOWDOIN ST","101","SNGL-FAM-RES",12506.0002056,1060300,676500,1736800,"   958/  53",7/7/1982,"COLONIAL",5015,"BK",1812,"2"
"175-89","14 HURLBUT ST","101","SNGL-FAM-RES",3057.9999912,454900,282200,737100," 17262/  61",8/1/1986,"CAPE-COD",2455,"CB",1922,"1.75"
"175-90","26 LINNAEAN ST","199","CONDO-BLDG",5930.0000892,0,0,0," 24051/ 324",1/1/1998,"",5104,"",1900,"3"
"175-90","26 LINNAEAN ST #1","102","CONDOMINIUM",0,0,345800,345800," 50902/ 303",3/18/2008,"APARTMENT",725,"",1900,"0"
"175-90","26 LINNAEAN ST #2","102","CONDOMINIUM",0,0,288200,288200," 27138/ 478",3/18/1997,"APARTMENT",695,"",1900,"0"
