"ID","ML","Location","LandArea","UseCode","UseDescription","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","GrossArea","SaleDate","StyleDesc","Occupancy","AYBYrBuilt","BldgStories"
13,"8-61","4 CANAL PK #C1",0.00,"343","OFFICE-CONDO",0,1392700,1392700," 24857/ 494",4764.00,9/15/1994 0:00:00,"Commercial Condo","AP",1986,"1"
14,"8-61","4-6 CANAL PK #101",0.00,"1021","CNDO LUX",0,362400,362400," 56188/ 515",843.00,12/30/2010 0:00:00,"APARTMENT","AP",1989,"1"
15,"8-61","4 CANAL PK #108",0.00,"1021","CNDO LUX",0,374400,374400," 30160/ 149",750.00,1/13/1989 0:00:00,"APARTMENT","AP",1986,"1"
16,"8-61","4 CANAL PK #109",0.00,"1021","CNDO LUX",0,297300,297300," 57084/ 225",491.00,7/1/2011 0:00:00,"APARTMENT","AP",1986,"1"
17,"8-61","4 CANAL PK #110",0.00,"1021","CNDO LUX",0,378500,378500," 31660/ 320",843.00,7/31/2000 0:00:00,"APARTMENT","AP",1986,"1"
18,"8-61","4 CANAL PK #111",0.00,"1021","CNDO LUX",0,377700,377700," 44133/ 429",840.00,11/19/2004 0:00:00,"APARTMENT","AP",1986,"1"
19,"8-61","4 CANAL PK #112",0.00,"1021","CNDO LUX",0,379000,379000," 46340/ 216",845.00,10/25/2005 0:00:00,"APARTMENT","AP",1986,"1"
20,"8-61","4 CANAL PK #201",0.00,"1021","CNDO LUX",0,562500,562500," 55032/   9",1377.00,7/23/2010 0:00:00,"APARTMENT","AP",1986,"1"
21,"8-61","4 CANAL PK #202",0.00,"1021","CNDO LUX",0,488300,488300," 31670/ 467",1176.00,8/1/2000 0:00:00,"APARTMENT","AP",1986,"1"
22,"8-61","4 CANAL PK #203",0.00,"1021","CNDO LUX",0,293200,293200," 18951/  78",538.00,3/30/1988 0:00:00,"APARTMENT","AP",1986,"1"
23,"8-61","4 CANAL PK #204",0.00,"1021","CNDO LUX",0,399200,399200," 51137/ 594",827.00,5/6/2008 0:00:00,"APARTMENT","AP",1986,"1"
24,"8-61","4 CANAL PK #205",0.00,"1021","CNDO LUX",0,402800,402800," 55167/ 163",931.00,8/13/2010 0:00:00,"APARTMENT","AP",1986,"1"
25,"8-61","4 CANAL PK #206",0.00,"1021","CNDO LUX",0,430600,430600," 45867/ 419",1029.00,8/18/2005 0:00:00,"APARTMENT","AP",1986,"1"
26,"8-61","4 CANAL PK #207",0.00,"1021","CNDO LUX",0,427800,427800," 45223/ 424",1019.00,5/23/2005 0:00:00,"APARTMENT","AP",1986,"1"
27,"8-61","4 CANAL PK #208",0.00,"1021","CNDO LUX",0,392900,392900," 19055/ 552",838.00,5/18/1988 0:00:00,"APARTMENT","AP",1986,"1"
28,"8-61","4 CANAL PK #209",0.00,"1021","CNDO LUX",0,364200,364200," 49257/ 216",850.00,4/9/2007 0:00:00,"APARTMENT","AP",1986,"1"
29,"8-61","4 CANAL PK #210",0.00,"1021","CNDO LUX",0,285900,285900," 49833/ 479",511.00,7/25/2007 0:00:00,"APARTMENT","AP",1986,"1"
30,"8-61","4 CANAL PK #211",0.00,"1021","CNDO LUX",0,475400,475400," 24222/ 297",1158.00,1/31/1994 0:00:00,"APARTMENT","AP",1986,"1"
31,"8-61","4 CANAL PK #212",0.00,"1021","CNDO LUX",0,547300,547300," 49494/ 507",1337.00,5/24/2007 0:00:00,"APARTMENT","AP",1986,"1"
32,"8-61","4 CANAL PK #301",0.00,"1021","CNDO LUX",0,554100,554100," 33383/  91",1355.00,8/2/2001 0:00:00,"APARTMENT","AP",1986,"1"
33,"8-61","4 CANAL PK #302",0.00,"1021","CNDO LUX",0,537600,537600," 49494/ 358",1182.00,5/24/2007 0:00:00,"APARTMENT","AP",1986,"1"
34,"8-61","4 CANAL PK #303",0.00,"1021","CNDO LUX",0,295000,295000," 19367/  56",545.00,12/4/1992 0:00:00,"APARTMENT","AP",1986,"1"
35,"8-61","4 CANAL PK #304",0.00,"1021","CNDO LUX",0,368900,368900," 18968/ 191",808.00,4/6/1988 0:00:00,"APARTMENT","AP",1986,"1"
36,"8-61","4 CANAL PK #305",0.00,"1021","CNDO LUX",0,398000,398000," 42459/ 196",827.00,4/9/2004 0:00:00,"APARTMENT","AP",1986,"1"
37,"8-61","4 CANAL PK #306",0.00,"1021","CNDO LUX",0,529300,529300," 24818/ 101",1208.00,8/30/1994 0:00:00,"APARTMENT","AP",1986,"1"
38,"8-61","4 CANAL PK #307",0.00,"1021","CNDO LUX",0,528500,528500," 48312/ 233",1206.00,10/12/2006 0:00:00,"APARTMENT","AP",1986,"1"
39,"8-61","4 CANAL PK #308",0.00,"1021","CNDO LUX",0,397400,397400," 23994/  14",825.00,12/3/1993 0:00:00,"APARTMENT","AP",1986,"1"
40,"8-61","4 CANAL PK #309",0.00,"1021","CNDO LUX",0,417500,417500," 28496/ 176",840.00,4/19/1988 0:00:00,"APARTMENT","AP",1986,"1"
41,"8-61","4 CANAL PK #310",0.00,"1021","CNDO LUX",0,273300,273300," 28913/ 519",510.00,7/31/1998 0:00:00,"APARTMENT","AP",1986,"1"
42,"8-61","4 CANAL PK #311",0.00,"1021","CNDO LUX",0,524800,524800," 47757/  89",1196.00,7/5/2006 0:00:00,"APARTMENT","AP",1986,"1"
43,"8-61","4 CANAL PK #312",0.00,"1021","CNDO LUX",0,579700,579700," 19754/ 575",1332.00,4/12/1989 0:00:00,"APARTMENT","AP",1986,"1"
44,"8-61","4 CANAL PK #401",0.00,"1021","CNDO LUX",0,562900,562900," 47669/ 961",1378.00,6/21/2006 0:00:00,"APARTMENT","AP",1986,"1"
45,"8-61","4 CANAL PK #402",0.00,"1021","CNDO LUX",0,583700,583700," 49984/ 554",1168.00,8/22/2007 0:00:00,"APARTMENT","AP",1986,"1"
46,"8-61","4 CANAL PK #403",0.00,"1021","CNDO LUX",0,307700,307700," 54284/ 415",525.00,2/11/2010 0:00:00,"APARTMENT","AP",1986,"1"
47,"8-61","4 CANAL PK #404",0.00,"1021","CNDO LUX",0,391500,391500," 58052/  41",805.00,12/9/2011 0:00:00,"APARTMENT","AP",1986,"1"
48,"8-61","4 CANAL PK #405",0.00,"1021","CNDO LUX",0,367100,367100," 49747/ 575",824.00,7/9/2007 0:00:00,"APARTMENT","AP",1986,"1"
49,"8-61","4 CANAL PK #406",0.00,"1021","CNDO LUX",0,549500,549500," 55238/ 255",1215.00,8/25/2010 0:00:00,"APARTMENT","AP",1986,"1"
50,"8-61","4 CANAL PK #407",0.00,"1021","CNDO LUX",0,535400,535400," 45186/ 477",1223.00,5/16/2005 0:00:00,"APARTMENT","AP",1986,"1"
51,"8-61","4 CANAL PK #408",0.00,"1021","CNDO LUX",0,394800,394800," 30799/  33",816.00,10/27/1999 0:00:00,"APARTMENT","AP",1986,"1"
52,"8-61","4 CANAL PK #409",0.00,"1021","CNDO LUX",0,399700,399700," 36201/  83",833.00,8/23/2002 0:00:00,"APARTMENT","AP",1986,"1"
53,"8-61","4 CANAL PK #410",0.00,"1021","CNDO LUX",0,289200,289200," 56895/ 472",523.00,5/24/2011 0:00:00,"APARTMENT","AP",1986,"1"
54,"8-61","4 CANAL PK #411",0.00,"1021","CNDO LUX",0,535400,535400," 45406/ 475",1223.00,6/17/2005 0:00:00,"APARTMENT","AP",1986,"1"
55,"8-61","4 CANAL PK #412",0.00,"1021","CNDO LUX",0,585000,585000," 54097/ 420",1345.00,1/4/2010 0:00:00,"APARTMENT","AP",1986,"1"
56,"8-61","4 CANAL PK #501",0.00,"1021","CNDO LUX",0,559900,559900," 54010/ 392",1370.00,12/17/2009 0:00:00,"APARTMENT","AP",1986,"1"
57,"8-61","4 CANAL PK #502",0.00,"1021","CNDO LUX",0,527600,527600," 43184/ 336",1204.00,6/30/2004 0:00:00,"APARTMENT","AP",1986,"1"
58,"8-61","4 CANAL PK #503",0.00,"1021","CNDO LUX",0,280000,280000," 44413/ 545",534.00,1/3/2005 0:00:00,"APARTMENT","AP",1986,"1"
59,"8-61","4 CANAL PK #504",0.00,"1021","CNDO LUX",0,398900,398900," 43577/ 596",830.00,8/24/2004 0:00:00,"APARTMENT","AP",1986,"1"
60,"8-61","4 CANAL PK #505",0.00,"1021","CNDO LUX",0,393600,393600," 47448/ 486",812.00,5/15/2006 0:00:00,"APARTMENT","AP",1986,"1"
61,"8-61","4 CANAL PK #506",0.00,"1021","CNDO LUX",0,523700,523700," 19051/ 528",1220.00,5/16/1988 0:00:00,"APARTMENT","AP",1986,"1"
62,"8-61","4 CANAL PK #507",0.00,"1021","CNDO LUX",0,575600,575600," 56011/ 210",1235.00,12/8/2010 0:00:00,"APARTMENT","AP",1986,"1"
63,"8-61","4 CANAL PK #508",0.00,"1021","CNDO LUX",0,394800,394800," 50071/  61",816.00,9/7/2007 0:00:00,"APARTMENT","AP",1986,"1"
64,"8-61","4 CANAL PK #509",0.00,"1021","CNDO LUX",0,401500,401500," 22905/ 357",839.00,2/11/1993 0:00:00,"APARTMENT","AP",1986,"1"
65,"8-61","4 CANAL PK #510",0.00,"1021","CNDO LUX",0,308600,308600," 31681/ 614",528.00,8/3/2000 0:00:00,"APARTMENT","AP",1986,"1"
66,"8-61","4 CANAL PK #511",0.00,"1021","CNDO LUX",0,528900,528900," 24276/ 160",1207.00,2/16/1994 0:00:00,"APARTMENT","AP",1986,"1"
67,"8-61","4 CANAL PK #512",0.00,"1021","CNDO LUX",0,579300,579300," 23134/ 569",1331.00,5/3/1993 0:00:00,"APARTMENT","AP",1986,"1"
68,"8-61","4 CANAL PK #601",0.00,"1021","CNDO LUX",0,656700,656700," 31158/ 232",1386.00,3/5/1993 0:00:00,"APARTMENT","AP",1986,"1"
69,"8-61","4 CANAL PK #602",0.00,"1021","CNDO LUX",0,593600,593600," 55285/ 493",1205.00,8/31/2010 0:00:00,"APARTMENT","AP",1986,"1"
70,"8-61","4 CANAL PK #603",0.00,"1021","CNDO LUX",0,308600,308600," 27838/ 161",540.00,2/28/1991 0:00:00,"APARTMENT","AP",1986,"1"
71,"8-61","4 CANAL PK #604",0.00,"1021","CNDO LUX",0,437800,437800," 24738/ 220",838.00,7/28/1994 0:00:00,"APARTMENT","AP",1986,"1"
72,"8-61","4 CANAL PK #605",0.00,"1021","CNDO LUX",0,429100,429100," 51348/ 141",811.00,6/24/2008 0:00:00,"APARTMENT","AP",1986,"1"
73,"8-61","4 CANAL PK #606",0.00,"1021","CNDO LUX",0,562900,562900," 19599/ 251",1250.00,1/18/1989 0:00:00,"APARTMENT","AP",1986,"1"
74,"8-61","4 CANAL PK #607",0.00,"1021","CNDO LUX",0,580400,580400," 57692/  52",1215.00,10/21/2011 0:00:00,"APARTMENT","AP",1986,"1"
75,"8-61","4 CANAL PK #608",0.00,"1021","CNDO LUX",0,406000,406000," 51551/ 172",814.00,8/8/2008 0:00:00,"APARTMENT","AP",1986,"1"
76,"8-61","4 CANAL PK #609",0.00,"1021","CNDO LUX",0,434600,434600," 28413/ 401",828.00,4/6/1998 0:00:00,"APARTMENT","AP",1986,"1"
77,"8-61","4 CANAL PK #610",0.00,"1021","CNDO LUX",0,330900,330900," 31199/ 209",512.00,7/15/1988 0:00:00,"APARTMENT","AP",1986,"1"
78,"8-61","4 CANAL PK #611",0.00,"1021","CNDO LUX",0,583500,583500," 55996/ 140",1222.00,12/7/2010 0:00:00,"APARTMENT","AP",1986,"1"
79,"8-61","4 CANAL PK #612",0.00,"1021","CNDO LUX",0,656800,656800," 27223/ 255",1319.00,4/18/1997 0:00:00,"APARTMENT","AP",1986,"1"
80,"8-61","4 CANAL PK #701",0.00,"1021","CNDO LUX",0,643600,643600," 43414/ 345",1324.00,7/30/2004 0:00:00,"APARTMENT","AP",1986,"1"
81,"8-61","4 CANAL PK #702",0.00,"1021","CNDO LUX",0,598600,598600," 56740/ 290",1221.00,4/15/2011 0:00:00,"APARTMENT","AP",1986,"1"
82,"8-61","4 CANAL PK #703",0.00,"1021","CNDO LUX",0,337600,337600,"/",510.00,9/30/1994 0:00:00,"APARTMENT","AP",1986,"1"
83,"8-61","4 CANAL PK #704",0.00,"1021","CNDO LUX",0,447800,447800," 19479/ 132",838.00,11/18/1988 0:00:00,"APARTMENT","AP",1986,"1"
84,"8-61","4 CANAL PK #705",0.00,"1021","CNDO LUX",0,437200,437200," 21064/ 519",806.00,3/27/1991 0:00:00,"APARTMENT","AP",1986,"1"
85,"8-61","4 CANAL PK #706",0.00,"1021","CNDO LUX",0,582900,582900," 56161/ 140",1188.00,12/28/2010 0:00:00,"APARTMENT","AP",1986,"1"
86,"8-61","4 CANAL PK #707",0.00,"1021","CNDO LUX",0,575000,575000," 50688/  74",1165.00,2/8/2008 0:00:00,"APARTMENT","AP",1986,"1"
87,"8-61","4 CANAL PK #708",0.00,"1021","CNDO LUX",0,443500,443500," 56985/ 548",825.00,6/14/2011 0:00:00,"APARTMENT","AP",1986,"1"
88,"8-61","4 CANAL PK #709",0.00,"1021","CNDO LUX",0,441900,441900," 40018/ 541",820.00,7/19/2003 0:00:00,"APARTMENT","AP",1986,"1"
89,"8-61","4 CANAL PK #710",0.00,"1021","CNDO LUX",0,309600,309600," 43724/ 111",513.00,9/16/2004 0:00:00,"APARTMENT","AP",1986,"1"
90,"8-61","4 CANAL PK #711",0.00,"1021","CNDO LUX",0,584500,584500," 56963/ 104",1187.00,6/8/2011 0:00:00,"APARTMENT","AP",1986,"1"
91,"8-61","4 CANAL PK #712",0.00,"1021","CNDO LUX",0,614100,614100," 19051/ 263",1255.00,5/16/1988 0:00:00,"APARTMENT","AP",1986,"1"
92,"8-61","4 CANAL PK #PH1",0.00,"1021","CNDO LUX",0,645600,645600," 19735/ 350",1297.00,3/12/1993 0:00:00,"APARTMENT","AP",1986,"1"
93,"8-61","4 CANAL PK #PH2",0.00,"1021","CNDO LUX",0,580400,580400," 52795/ 534",1138.00,5/18/2009 0:00:00,"APARTMENT","AP",1986,"1"
94,"8-61","4 CANAL PK #PH3",0.00,"1021","CNDO LUX",0,305100,305100," 46334/ 408",479.00,10/24/2005 0:00:00,"APARTMENT","AP",1986,"1"
95,"8-61","4 CANAL PK #PH4",0.00,"1021","CNDO LUX",0,455500,455500," 49975/ 314",791.00,8/21/2007 0:00:00,"APARTMENT","AP",1986,"1"
96,"8-61","4 CANAL PK #PH5",0.00,"1021","CNDO LUX",0,437000,437000," 45978/ 207",772.00,8/30/2005 0:00:00,"APARTMENT","AP",1986,"1"
97,"8-61","4 CANAL PK #PH6",0.00,"1021","CNDO LUX",0,596000,596000," 49918/ 507",1182.00,8/9/2007 0:00:00,"APARTMENT","AP",1986,"1"
98,"8-61","4 CANAL PK #PH7",0.00,"1021","CNDO LUX",0,597100,597100," 26046/ 448",1185.00,8/30/1994 0:00:00,"APARTMENT","AP",1986,"1"
99,"8-61","4 CANAL PK #PH8",0.00,"1021","CNDO LUX",0,436000,436000," 20680/ 289",775.00,7/27/1990 0:00:00,"APARTMENT","AP",1986,"1"
100,"8-61","4 CANAL PK #PH9",0.00,"1021","CNDO LUX",0,441700,441700," 56297/ 125",791.00,1/18/2011 0:00:00,"APARTMENT","AP",1986,"1"
101,"8-61","4 CANAL PK #PH10",0.00,"1021","CNDO LUX",0,312400,312400," 40018/ 542",501.00,7/19/2003 0:00:00,"APARTMENT","AP",1986,"1"
102,"8-61","4 CANAL PK #PH11",0.00,"1021","CNDO LUX",0,579800,579800," 24683/ 319",1142.00,7/7/1994 0:00:00,"APARTMENT","AP",1986,"1"
103,"8-61","4 CANAL PK #PH12",0.00,"1021","CNDO LUX",0,626100,626100," 19043/ 213",1251.00,5/12/1988 0:00:00,"APARTMENT","AP",1986,"1"
104,"8-61","6 CANAL PK #101/2",0.00,"1021","CNDO LUX",0,406900,406900," 30299/ 437",858.00,6/16/1999 0:00:00,"APARTMENT","AP",1986,"1"
105,"8-61","6 CANAL PK #102/2",0.00,"1021","CNDO LUX",0,426600,426600," 43184/ 590",834.00,6/30/2004 0:00:00,"APARTMENT","AP",1986,"1"
106,"8-61","6 CANAL PK #103/2",0.00,"1021","CNDO LUX",0,375500,375500," 56759/ 381",832.00,4/21/2011 0:00:00,"APARTMENT","AP",1986,"1"
107,"8-61","6 CANAL PK #104/2",0.00,"1021","CNDO LUX",0,307700,307700," 57271/  75",525.00,8/9/2011 0:00:00,"APARTMENT","AP",1986,"1"
108,"8-61","6 CANAL PK #105/2",0.00,"1021","CNDO LUX",0,382900,382900," 51719/ 292",777.00,9/25/2008 0:00:00,"APARTMENT","AP",1986,"1"
109,"8-61","6 CANAL PK #106/2",0.00,"1021","CNDO LUX",0,372000,372000," 40691/ 522",819.00,8/29/2003 0:00:00,"APARTMENT","AP",1986,"1"
110,"8-61","6 CANAL PK #107/2",0.00,"1021","CNDO LUX",0,404000,404000,"/",848.00,9/30/1993 0:00:00,"APARTMENT","AP",1986,"1"
111,"8-61","6 CANAL PK #201/2",0.00,"1021","CNDO LUX",0,545100,545100," 27117/ 565",1247.00,4/17/1992 0:00:00,"APARTMENT","AP",1986,"1"
112,"8-61","6 CANAL PK #202/2",0.00,"1021","CNDO LUX",0,541500,541500," 51378/ 236",1238.00,6/30/2008 0:00:00,"APARTMENT","AP",1986,"1"
113,"8-61","6 CANAL PK #203/2",0.00,"1021","CNDO LUX",0,376100,376100," 42956/  37",834.00,6/2/2004 0:00:00,"APARTMENT","AP",1986,"1"
114,"8-61","6 CANAL PK #204/2",0.00,"1021","CNDO LUX",0,590600,590600," 57259/  12",1285.00,8/5/2011 0:00:00,"APARTMENT","AP",1986,"1"
115,"8-61","6 CANAL PK #205/2",0.00,"1021","CNDO LUX",0,487300,487300," 35966/  41",1131.00,7/5/2002 0:00:00,"APARTMENT","AP",1986,"1"
116,"8-61","6 CANAL PK #206/2",0.00,"1021","CNDO LUX",0,462500,462500," 50086/ 336",1131.00,9/11/2007 0:00:00,"APARTMENT","AP",1986,"1"
117,"8-61","6 CANAL PK #207/2",0.00,"1021","CNDO LUX",0,540700,540700," 41310/ 437",1236.00,10/29/2003 0:00:00,"APARTMENT","AP",1986,"1"
118,"8-61","6 CANAL PK #208/2",0.00,"1021","CNDO LUX",0,400000,400000," 57438/  49",834.00,9/13/2011 0:00:00,"APARTMENT","AP",1986,"1"
119,"8-61","6 CANAL PK #209/2",0.00,"1021","CNDO LUX",0,559200,559200," 57419/ 542",1238.00,9/9/2011 0:00:00,"APARTMENT","AP",1986,"1"
120,"8-61","6 CANAL PK #210/2",0.00,"1021","CNDO LUX",0,621200,621200," 31176/ 264",1434.00,2/29/2000 0:00:00,"APARTMENT","AP",1986,"1"
121,"8-61","6 CANAL PK #301/2",0.00,"1021","CNDO LUX",0,615800,615800," 51101/ 128",1347.00,4/29/2008 0:00:00,"APARTMENT","AP",1986,"1"
122,"8-61","6 CANAL PK #302/2",0.00,"1021","CNDO LUX",0,528100,528100," 51556/ 343",1205.00,8/11/2008 0:00:00,"APARTMENT","AP",1986,"1"
123,"8-61","6 CANAL PK #303/2",0.00,"1021","CNDO LUX",0,371700,371700," 49784/ 111",818.00,7/16/2007 0:00:00,"APARTMENT","AP",1986,"1"
124,"8-61","6 CANAL PK #304/2",0.00,"1021","CNDO LUX",0,554500,554500," 31395/ 520",1270.00,5/12/2000 0:00:00,"APARTMENT","AP",1986,"1"
125,"8-61","6 CANAL PK #305/2",0.00,"1021","CNDO LUX",0,579900,579900," 50726/ 128",1287.00,2/15/2008 0:00:00,"APARTMENT","AP",1986,"1"
126,"8-61","6 CANAL PK #306/2",0.00,"1021","CNDO LUX",0,579900,579900," 54064/ 483",1287.00,12/29/2009 0:00:00,"APARTMENT","AP",1986,"1"
127,"8-61","6 CANAL PK #307/2",0.00,"1021","CNDO LUX",0,554500,554500," 31967/ 207",1270.00,10/27/2000 0:00:00,"APARTMENT","AP",1986,"1"
128,"8-61","6 CANAL PK #308/2",0.00,"1021","CNDO LUX",0,395300,395300," 50060/ 266",818.00,9/5/2007 0:00:00,"APARTMENT","AP",1986,"1"
129,"8-61","6 CANAL PK #309/2",0.00,"1021","CNDO LUX",0,528500,528500," 35500/ 152",1206.00,5/20/2002 0:00:00,"APARTMENT","AP",1986,"1"
130,"8-61","6 CANAL PK #310/2",0.00,"1021","CNDO LUX",0,615500,615500," 22178/ 117",1420.00,7/1/1992 0:00:00,"APARTMENT","AP",1986,"1"
131,"8-61","6 CANAL PK #401/2",0.00,"1021","CNDO LUX",0,585800,585800," 46705/ 180",1347.00,12/21/2005 0:00:00,"APARTMENT","AP",1986,"1"
132,"8-61","6 CANAL PK #402/2",0.00,"1021","CNDO LUX",0,528500,528500," 55755/ 381",1206.00,11/4/2010 0:00:00,"APARTMENT","AP",1986,"1"
133,"8-61","6 CANAL PK #403/2",0.00,"1021","CNDO LUX",0,395300,395300," 20623/ 445",818.00,6/28/1990 0:00:00,"APARTMENT","AP",1986,"1"
134,"8-61","6 CANAL PK #404/2",0.00,"1021","CNDO LUX",0,543600,543600," 55448/ 351",1270.00,9/24/2010 0:00:00,"APARTMENT","AP",1986,"1"
135,"8-61","6 CANAL PK #405/2",0.00,"1021","CNDO LUX",0,561400,561400,"/",1287.00,12/4/2002 0:00:00,"APARTMENT","AP",1986,"1"
136,"8-61","6 CANAL PK #406/2",0.00,"1021","CNDO LUX",0,561400,561400," 35238/ 486",1287.00,4/9/2002 0:00:00,"APARTMENT","AP",1986,"1"
137,"8-61","6 CANAL PK #407/2",0.00,"1021","CNDO LUX",0,554500,554500," 47929/ 555",1270.00,8/3/2006 0:00:00,"APARTMENT","AP",1986,"1"
138,"8-61","6 CANAL PK #408/2",0.00,"1021","CNDO LUX",0,394500,394500,"47092486",815.00,3/10/2006 0:00:00,"APARTMENT","AP",1986,"1"
139,"8-61","6 CANAL PK #409/2",0.00,"1021","CNDO LUX",0,528500,528500," 26442/ 544",1206.00,6/27/1996 0:00:00,"APARTMENT","AP",1986,"1"
140,"8-61","6 CANAL PK #410/2",0.00,"1021","CNDO LUX",0,615500,615500," 31076/ 138",1420.00,1/24/2000 0:00:00,"APARTMENT","AP",1986,"1"
141,"8-61","6 CANAL PK #501/2",0.00,"1021","CNDO LUX",0,585800,585800," 51683/ 422",1347.00,9/15/2008 0:00:00,"APARTMENT","AP",1986,"1"
142,"8-61","6 CANAL PK #502/2",0.00,"1021","CNDO LUX",0,528500,528500," 35580/  44",1206.00,5/31/2002 0:00:00,"APARTMENT","AP",1986,"1"
143,"8-61","6 CANAL PK #503/2",0.00,"1021","CNDO LUX",0,371700,371700," 51556/ 340",818.00,8/11/2008 0:00:00,"APARTMENT","AP",1986,"1"
144,"8-61","6 CANAL PK #504/2",0.00,"1021","CNDO LUX",0,572700,572700," 47526/ 125",1270.00,5/30/2006 0:00:00,"APARTMENT","AP",1986,"1"
145,"8-61","6 CANAL PK #505/2",0.00,"1021","CNDO LUX",0,561400,561400," 28698/ 421",1287.00,6/12/1998 0:00:00,"APARTMENT","AP",1986,"1"
146,"8-61","6 CANAL PK #506/2",0.00,"1021","CNDO LUX",0,561400,561400," 40032/ 204",1287.00,7/21/2003 0:00:00,"APARTMENT","AP",1986,"1"
147,"8-61","6 CANAL PK #507/2",0.00,"1021","CNDO LUX",0,584500,584500," 33349/ 497",1270.00,4/22/1999 0:00:00,"APARTMENT","AP",1986,"1"
148,"8-61","6 CANAL PK #508/2",0.00,"1021","CNDO LUX",0,395300,395300," 50211/ 134",818.00,10/11/2007 0:00:00,"APARTMENT","AP",1986,"1"
149,"8-61","6 CANAL PK #509/2",0.00,"1021","CNDO LUX",0,528500,528500," 26726/ 392",1206.00,10/4/1996 0:00:00,"APARTMENT","AP",1986,"1"
150,"8-61","6 CANAL PK #510/2",0.00,"1021","CNDO LUX",0,615500,615500," 29006/ 215",1420.00,8/24/1998 0:00:00,"APARTMENT","AP",1986,"1"
151,"8-61","6 CANAL PK #601/2",0.00,"1021","CNDO LUX",0,639300,639300," 55363/ 450",1347.00,9/14/2010 0:00:00,"APARTMENT","AP",1986,"1"
152,"8-61","6 CANAL PK #602/2",0.00,"1021","CNDO LUX",0,576300,576300," 45730/  85",1206.00,7/28/2005 0:00:00,"APARTMENT","AP",1986,"1"
153,"8-61","6 CANAL PK #603/2",0.00,"1021","CNDO LUX",0,407200,407200," 50531/  59",818.00,12/28/2007 0:00:00,"APARTMENT","AP",1986,"1"
154,"8-61","6 CANAL PK #604/2",0.00,"1021","CNDO LUX",0,634900,634900," 53176/ 218",1270.00,7/10/2009 0:00:00,"APARTMENT","AP",1986,"1"
155,"8-61","6 CANAL PK #605/2",0.00,"1021","CNDO LUX",0,612500,612500," 53176/ 225",1287.00,7/10/2009 0:00:00,"APARTMENT","AP",1986,"1"
156,"8-61","6 CANAL PK #606/2",0.00,"1021","CNDO LUX",0,612500,612500," 32131/ 309",1287.00,12/13/2000 0:00:00,"APARTMENT","AP",1986,"1"
157,"8-61","6 CANAL PK #607/2",0.00,"1021","CNDO LUX",0,604900,604900," 45703/ 107",1270.00,7/26/2005 0:00:00,"APARTMENT","AP",1986,"1"
158,"8-61","6 CANAL PK #608/2",0.00,"1021","CNDO LUX",0,391000,391000," 35169/ 496",818.00,4/1/2002 0:00:00,"APARTMENT","AP",1986,"1"
159,"8-61","6 CANAL PK #609/2",0.00,"1021","CNDO LUX",0,576300,576300," 42537/ 156",1206.00,4/20/2004 0:00:00,"APARTMENT","AP",1986,"1"
