Database,Source Dataset,Source Name,Destination Name,Destination Path
cambridge,,TRAFFIC_PavementMarkings,TRAFFIC_PavementMarkings,Traffic\Pavement_Markings
cambridge,,TRANS_BusShelters,TRANS_BusShelters,Trans\Bus_Shelters
cambridge,TRANS_RoadCenterline,Intersections,TRANS_Intersections,Trans\Intersections
cambridge,,TRANS_MajorRoads,TRANS_MajorRoads,Trans\Major_Roads
cambridge,,TRANS_Rail,TRANS_Rail,Trans\Rail
cambridge,,TRANS_SidewalkCenterlines,TRANS_SidewalkCenterlines,Trans\Sidewalk_Centerlines
cambridge,TRANS_RoadCenterline,Centerline,TRANS_Centerlines,Trans\Street_Centerlines
cambridge,,TRANS_SubwayHeadhouses,TRANS_SubwayHeadhouses,Trans\Subway_Headhouses
cambridge,,TRANS_SubwayLines,TRANS_SubwayLines,Trans\Subway_Lines
cambridge,,TRANS_SubwayStations,TRANS_SubwayStations,Trans\Subway_Stations
dpw,,Trash_LitterBarrel,DPW_LitterBarrels,DPW\Litter_Barrels
dpw,,Eng_Ramp,DPW_PedestrianRamps,DPW\Pedestrian_Ramps
dpw,,UrbanForestry_Trees,DPW_StreetTrees,DPW\Trees
water,Water_Distribution_Network,wHydrant,INFRA_Hydrants,Infra\Hydrants
